csv_link,description,name
http://data.ok.gov/sites/default/files/res_oklahoma_lottery_commission_retailer_ranking_from_july_1%2C_2006-june_30%2C_2007_6uc8-aqi7.csv,"Oklahoma Lottery Commission retailer ranking based on total sales for all retailers and terminal types from July 1, 2006 to June 30, 2007.","
      Oklahoma Lottery Commission Retailer Ranking From July 1, 2006-June 30, 2007    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_april_2014_6id2-7597.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds - April 2014    "
http://data.ok.gov/sites/default/files/res_oklahoma_general_pay_increase_history_6evb-5kfi.csv,List of pay increases for State of Oklahoma employees since fiscal year 2002.,"
      Oklahoma General Pay Increase History    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_october_2012_5rjd-trxs.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - October 2012    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_payroll_-_q4_2011_679u-g5er.csv,"The payroll data represents the amount paid to an employee during the reported time period. In addition to regular pay, these amounts may include other pay types such as overtime, longevity, shift differential or terminal pay. This amount does not include any state share costs associated with the payroll i.e. FICA, state share retirement, etc. This amount may vary from an employee’s ‘salary’ due to pay adjustments or pay period timing. The payroll information will be updated monthly after the end of the month. For example, July information will be added in August.","
      State of Oklahoma Payroll - Q4 2011    "
http://data.ok.gov/sites/default/files/res_average_salary_market_comparison_trend_line_chart_784c-4mpn.csv,Comparison of the average salary of State of Oklahoma employees and the market average salary beginning in fiscaly year 2005.,"
      Average Salary Market Comparison Trend    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_general_revenue_trends%2C_income_vs._expenditures_4mtp-r2wh.csv,Data showing general revenue trends for the State of Oklahoma for fiscal years 2006 to 2017. Annual revenue estimates will be updated after official release of documents from the December meeting of the State Board of Equalization. Amounts are displayed in millions,"
      State of Oklahoma General Revenue Trends, Income vs. Expenditures    "
http://data.ok.gov/sites/default/files/res_revolving_funds_february_2015_5ivn-dgzy.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds February 2015    "
http://data.ok.gov/sites/default/files/res_market_analysis_by_agency_6rug-xpex.csv,"Market analysis of classified employees by agency for the previous fiscal year. This analysis shows the number of classified employees as well as benchmarks for the number of incumbent,s market average salaries, and the average salary.","
      Market Analysis by Agency    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_january_2013_9xhv-36ps.csv,A detailed listing of all state revolving funds and the amount,"
      Revolving Funds - January 2013    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_vendor_payments_fiscal_year_2011_9x5t-prtk.csv,"The vendor payment dataset contains payments made by state agencies and institutions of higher education that are processed through the Office of State Finance. These payments reflect disbursements from a state fund for the purchase of goods received, services performed, reimbursements, and payments to other governments. Travel reimbursements include the zip code of the State Capitol and not the individual’s address. For security and privacy reasons, payments related to “confidential matters” are not included in the dataset. Also, some state agencies are authorized to make payments outside of the Office of State Finance from certain authorized funds. In these cases, the agency reports only the total amount of the expenditures to the Office of State Finance but does not report the detailed vendor payment information. Therefore, these payment details are not included in the dataset.","
      State of Oklahoma Vendor Payments Fiscal Year 2011    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_payroll_-_q4_2012_3mtv-xupu.csv,"The payroll data represents the amount paid to an employee during the reported time period. In addition to regular pay, these amounts may include other pay types such as overtime, longevity, shift differential or terminal pay. This amount does not include any state share costs associated with the payroll i.e. FICA, state share retirement, etc. This amount may vary from an employee’s ‘salary’ due to pay adjustments or pay period timing. The payroll information will be updated monthly after the end of the month. For example, July information will be added in August.","
      State of Oklahoma Payroll - Q4 2012    "
http://data.ok.gov/sites/default/files/res_funding_summary_fiscal_year_2015_9vub-adtb.csv,"The Funding dataset provides information for the current fiscal year (to-date) and the three prior fiscal years. The funding information is first presented by high-level funding categories including: • Assets Held for Others • Taxes and Interest Income • Licenses, Permits, Tuition, Fees and Other • Federal Grants • Appropriations Each Funding category (class) may be further viewed by sub-class and detail funding type.","
      Funding Summary Fiscal Year 2015    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_march_2012_7nk2-twsb.csv,A detailed listing of all state revolving funds and the amount,"
      Revolving Funds - March 2012    "
http://data.ok.gov/sites/default/files/res_top_10_sources_of_tax_revenue_%28other_than_sales_and_income_taxes%29_773t-rvum.csv,"Breakdown of the Top 10 sources of tax revenue in the State of Oklahoma by broad category, other than sales and income taxes.","
      Top 10 Sources of Tax Revenue (Other than Sales and Income taxes)    "
http://data.ok.gov/sites/default/files/res_multi-survey_benchmark_jobs_and_relationship_to_market_79d8-nits.csv,Survey of classified jobs and the relationship of the average salary to the average market salary.,"
      Multi-Survey Benchmark Jobs and Relationship to Market    "
http://data.ok.gov/sites/default/files/res_expenditure_summary__fiscal_year_2015_85mr-nb23.csv,"Provides expenditure data summarized by each agency and general ledger account. The general ledger account may be viewed by major class, sub-class or detail expenditure code. Examples of the major class expenditure category include: • Personal Services • Travel Expenses • Administrative Expense • Property, Furniture, Equipment and Related Debt • General Assistance, Awards, Grants, & Other • Program-Directed Payments • Transfers and Other Disbursements","
      Expenditure Summary  Fiscal Year 2015    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_july_2013_9c29-f77k.csv,A detailed listing of all state revolving funds and the amount,"
      Revolving Funds - July 2013    "
http://data.ok.gov/sites/default/files/res_unfunded_pension_liability_-_column_chart_kqib-xsd6.csv,Decrease the State of Oklahoma’s unfunded pension liability from $9.65 billion in 2014 to $NA billion by 2018 (Target not yet established).,"
      Unfunded Pension Liability    "
http://data.ok.gov/sites/default/files/res_2013_omes_mineral_interest_inventory_list_bhpu-mpn8.csv,The Mineral Interest List is a historical listing of oil and gas leases under the authority of the Office of Management and Enterprise Services.,"
      2013 OMES Mineral Interest Inventory List    "
http://data.ok.gov/sites/default/files/res_revolving_funds_december_2014_9y7q-g34e.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds December 2014    "
http://data.ok.gov/sites/default/files/res_2013_report_of_underutilized_properties-tier_1_aa3c-eyw3.csv,"The Tier 1 Underutilized Property Report contains all properties owned by the State of Oklahoma that were reported to the Office of Management and Enterprise Services as being underutilized.  Underutilized properties are defined as buildings, facilities, and land that were reported as being utilized 50% or less.","
      2013 Report of Underutilized Properties-Tier 1    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_payroll_-_q3_2011_bcr4-yhkv.csv,"The payroll data represents the amount paid to an employee during the reported time period. In addition to regular pay, these amounts may include other pay types such as overtime, longevity, shift differential or terminal pay. This amount does not include any state share costs associated with the payroll i.e. FICA, state share retirement, etc. This amount may vary from an employee’s ‘salary’ due to pay adjustments or pay period timing. The payroll information will be updated monthly after the end of the month. For example, July information will be added in August.","
      State of Oklahoma Payroll - Q3 2011    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_portfolio_composition_%28as_of_june_30%2C_2011%29_b9yw-6ms2.csv,"Data showing the make up of the State of Oklahoma's investment portfolio as of June 30, 2011.","
      State of Oklahoma Portfolio Composition (as of June 30, 2011)    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_vendor_payments_fiscal_year_2013_aykr-xnjm.csv,"The vendor payment dataset contains payments made by state agencies and institutions of higher education that are processed through the Office of Management and Enterprise Services. These payments reflect disbursements from a state fund for the purchase of goods received, services performed, reimbursements, and payments to other governments. Travel reimbursements include the zip code of the State Capitol and not the individual’s address. For security and privacy reasons, payments related to “confidential matters” are included in the dataset; however, the payee name is replaced with “Protected Information” and the address is changed to the State Capitol address. . Also, some state agencies are authorized to make payments outside of the Office of Management and Enterprise Services from certain authorized funds. In these cases, the agency reports only the total amount of the expenditures to the Office of Management and Enterprise Services but does not report the detailed vendor payment information. Therefore, these payment details are not included in the dataset.","
      State of Oklahoma Vendor Payments Fiscal Year 2013    "
http://data.ok.gov/sites/default/files/res_debt_service_and_fund_information_c3v4-6dr6.csv,Debt Service and Fund Information,"
      Debt Service and Fund Information    "
http://data.ok.gov/sites/default/files/res_tax_collections_to_general_revenue_fund_bgxn-3u5c.csv,Increase the portion of tax collections that are distributed into the General Revenue Fund from 46.7% in 2014 to 48% by 2018.,"
      Tax Collections To General Revenue Fund    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_vendor_payments_fiscal_year_2009_deaa-m6ft.csv,"The vendor payment dataset contains payments made by state agencies and institutions of higher education that are processed through the Office of Management and Enterprise Services. These payments reflect disbursements from a state fund for the purchase of goods received, services performed, reimbursements, and payments to other governments. Travel reimbursements include the zip code of the State Capitol and not the individual’s address. For security and privacy reasons, payments related to “confidential matters” are included in the dataset; however, the payee name is replaced with “Protected Information” and the address is changed to the State Capitol address. . Also, some state agencies are authorized to make payments outside of the Office of Management and Enterprise Services from certain authorized funds. In these cases, the agency reports only the total amount of the expenditures to the Office of Management and Enterprise Services but does not report the detailed vendor payment information. Therefore, these payment details are not included in the dataset.","
      State of Oklahoma Vendor Payments Fiscal Year 2009    "
http://data.ok.gov/sites/default/files/res_capitol_complex_renewable_energy_sources_-_cumulative_total_atu3-mtx3.csv,Running total of renewable energy sources in the State of Oklahoma Capitol complex.,"
      Capitol Complex Renewable Energy Sources - Cumulative Total    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_december_2013_dbrp-gxum.csv,A detailed listing of all state revolving funds and the amount,"
      Revolving Funds - December 2013    "
http://data.ok.gov/sites/default/files/res_classified_employee_turnover_data_line_chart_fpvw-ygtk.csv,Overall and voluntary turnover data for State of Oklahoma classified employees beginning in fiscal year 2007.,"
      Classified Employee Turnover Data    "
http://data.ok.gov/sites/default/files/res_oklahoma_lottery_commission_retailer_ranking_from_july_1%2C_2011-june_30%2C_2012_d59m-upw4.csv,"Oklahoma Lottery Commission retailer ranking based on total sales for all retailers and terminal types from July 1, 2011 to June 30, 2012.","
      Oklahoma Lottery Commission Retailer Ranking From July 1, 2011-June 30, 2012    "
http://data.ok.gov/sites/default/files/res_expenditure_summary_-_fiscal_year_2012_afpt-n7ya.csv,"Provides expenditure data summarized by each agency and general ledger account. The general ledger account may be viewed by major class, sub-class or detail expenditure code. Examples of the major class expenditure category include: • Personal Services • Travel Expenses • Administrative Expense • Property, Furniture, Equipment and Related Debt • General Assistance, Awards, Grants, & Other • Program-Directed Payments • Transfers and Other Disbursements","
      Expenditure Summary - Fiscal Year 2012    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_june_2014_acvg-sk6d.csv,A detailed listing of all state revolving funds and the amount,"
      Revolving Funds - June 2014    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_july_2011_d552-m8jp.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - July 2011    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_vendor_payments_fiscal_year_2008_cny5-ee88.csv,"The vendor payment dataset contains payments made by state agencies and institutions of higher education that are processed through the Office of Management and Enterprise Services. These payments reflect disbursements from a state fund for the purchase of goods received, services performed, reimbursements, and payments to other governments. Travel reimbursements include the zip code of the State Capitol and not the individual’s address. For security and privacy reasons, payments related to “confidential matters” are included in the dataset; however, the payee name is replaced with “Protected Information” and the address is changed to the State Capitol address. . Also, some state agencies are authorized to make payments outside of the Office of Management and Enterprise Services from certain authorized funds. In these cases, the agency reports only the total amount of the expenditures to the Office of Management and Enterprise Services but does not report the detailed vendor payment information. Therefore, these payment details are not included in the dataset.","
      State of Oklahoma Vendor Payments Fiscal Year 2008    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_sep_2011_cm92-tiua.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - Sep 2011    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_august_2012_dgbw-zy6q.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - August 2012    "
http://data.ok.gov/sites/default/files/res_2013_state_of_oklahoma_personal_property_inventory_list_f679-ijkp.csv,The Personal Property List contains information on all personal property owned by the State of Oklahoma as reported to the OMES.,"
      2013 State of Oklahoma Personal Property Inventory List    "
http://data.ok.gov/sites/default/files/res_underutilized_property_auctions_dknh-b46p.csv,List of all State of Oklahoma-owned and underutilized properties that are available for auction.,"
      Underutilized Property Auctions    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_payroll_-_q3_2012_ck4w-gpnt.csv,"The payroll data represents the amount paid to an employee during the reported time period. In addition to regular pay, these amounts may include other pay types such as overtime, longevity, shift differential or terminal pay. This amount does not include any state share costs associated with the payroll i.e. FICA, state share retirement, etc. This amount may vary from an employee’s ‘salary’ due to pay adjustments or pay period timing. The payroll information will be updated monthly after the end of the month. For example, July information will be added in August.","
      State of Oklahoma Payroll - Q3 2012    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_payroll_q3_2014_fgs5-8dye.csv,"The payroll data represents the amount paid to an employee during the reported time period. In addition to regular pay, these amounts may include other pay types such as overtime, longevity, shift differential or terminal pay. This amount does not include any state share costs associated with the payroll i.e. FICA, state share retirement, etc. This amount may vary from an employee’s ‘salary’ due to pay adjustments or pay period timing. The payroll information will be updated monthly after the end of the month. For example, July information will be added in August.","
      State of Oklahoma Payroll Q3 2014    "
http://data.ok.gov/sites/default/files/res_fiscal_year_2012_tax_credits_eike-hzuj.csv,Tax credit information represents a credit pursuant to the Oklahoma Income Tax Act against tax liability which is taken by a taxpayer.,"
      Fiscal Year 2012 Tax Credits    "
http://data.ok.gov/sites/default/files/res_tribal_gaming_exclusivity_fees_%282006-present%29_ew7m-f8yq.csv,Data showing the amount of exclusivity fees collected by the State of Oklahoma. The fees are paid on a monthly basis by compacted tribes for the exclusive right to operate compacted gaming.,"
      Tribal Gaming Exclusivity Fees (2006-present)    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_september_2013_dpj5-twah.csv,A detailed listing of all state revolving funds and the amount,"
      Revolving Funds - September 2013    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_may_2012_fcdk-23ik.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - May 2012    "
http://data.ok.gov/sites/default/files/res_revolving_funds_april_2015_hekz-emw3.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds April 2015    "
http://data.ok.gov/sites/default/files/res_pay_band_compa_ratios_dnzj-5xts.csv,Compa ratios for the State of Oklahoma showing the current ratio for employees and the ratio if the pay bands are increased by 3%.,"
      Pay Band Compa Ratios    "
http://data.ok.gov/sites/default/files/res_2013_report_of_5%25_most_underutilized_properties-tier_3_map_pwvf-jt57.csv,"The Tier 3 Report of the 5% Most Underutilized Properties contains the properties that were deemed to be the most underutilized of all state owned properties.   Underutilized properties are defined as buildings, facilities, and land that were reported as being utilized 50% or less.  Properties deemed unsuitable for divestment were removed from the comprehensive listing of underutilized properties to create the Tier 2 Underutilized Property Report.   Estimated assessed values were assigned to the divestible properties.  The 5% of the total reported underutilized properties that are divestible and have the  highest assessed or estimated value are listed on the Tier 3 Report of the 5% Most Underutilized Properties.","
      2013 Report Of 5 % Most Underutilized Properties- Tier 3    "
http://data.ok.gov/sites/default/files/res_2012_oklahoma_real_property_inventory_list_e2r7-bsxk.csv,2012 Oklahoma Real Property Inventory List,"
      2012 Oklahoma Real Property Inventory List    "
http://data.ok.gov/sites/default/files/res_recurring_findings_huug-eu9e.csv,Decrease the percentage of recurring findings in state agency audits from 38% in 2014 to 30% by 2018.,"
      Recurring Findings    "
http://data.ok.gov/sites/default/files/res_van_nostrand_nsu_nursing_kdqt-d8yc.csv,"The payroll data represents the amount paid to an employee during the reported time period. In addition to regular pay, these amounts may include other pay types such as overtime, longevity, shift differential or terminal pay. This amount does not include any state share costs associated with the payroll i.e. FICA, state share retirement, etc. This amount may vary from an employee’s ‘salary’ due to pay adjustments or pay period timing. The payroll information will be updated monthly after the end of the month. For example, July information will be added in August.","
      State of Oklahoma Payroll - Q1 2012    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_april_2012_gvxq-b9nf.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - April 2012    "
http://data.ok.gov/sites/default/files/res_2014_report_of_underutilized_properties-_tier_1_map_ps66-gadt.csv,"The Tier 1 Underutilized Property Report contains all properties owned by the State of Oklahoma that were reported to the Office of Management and Enterprise Services as being underutilized.  Underutilized properties are defined as buildings, facilities, and land that were reported as being utilized 50% or less.","
      2014 Report Of Underutilized Properties- Tier 1    "
http://data.ok.gov/sites/default/files/res_pension_debt_funded_ratio_-_column_chart_qh27-wpcs.csv,Increase the State of Oklahoma’s pension debt funded ratio from 72.5% funded in 2014 to NA% funded by 2018 (Target not yet established).,"
      Pension Debt Funded Ratio    "
http://data.ok.gov/sites/default/files/res_funding_summary_-_fiscal_year_2012_fjh8-nnc9.csv,"The Funding dataset provides information for the current fiscal year (to-date) and the three prior fiscal years. The funding information is first presented by high-level funding categories including: • Assets Held for Others • Taxes and Interest Income • Licenses, Permits, Tuition, Fees and Other • Federal Grants • Appropriations Each Funding category (class) may be further viewed by sub-class and detail funding type.","
      Funding Summary - Fiscal Year 2012    "
http://data.ok.gov/sites/default/files/res_cost_of_proposed_pay_band_adjustment_fhyu-4gt5.csv,Data showing the cost by agency of the proposed 3% increase to the pay bands for classified employees.,"
      Cost of Proposed Pay Band Adjustment    "
http://data.ok.gov/sites/default/files/res_purchase_card_%28pcard%29_fiscal_year_2015_g82y-cb3r.csv,"This dataset contains information on purchases made through the purchase card programs administered by the state and higher ed institutions. The purchase card information will be updated monthly after the end of the month. For example, July information will be added in August.","
      Purchase Card (PCard) Fiscal Year 2015    "
http://data.ok.gov/sites/default/files/res_energy_star_portfolio_building_rating_trend_column_chart_6m7g-hd67.csv,Energy Star rankings for buildings managed by the Office of Management and Enterprise Services (OMES) Division of Capital Assets Management (DCAM).,"
      Energy Star Portfolio (State-Managed Buildings)    "
http://data.ok.gov/sites/default/files/res_2014_omes_mineral_interest_inventory_list_j2zp-4x8p.csv,The Mineral Interest List is a historical listing of oil and gas leases under the authority of the Office of Management and Enterprise Services.,"
      2014 OMES Mineral Interest Inventory List    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_february_2014_k5uk-ujhc.csv,in house,"
      Revolving Funds - February 2014    "
http://data.ok.gov/sites/default/files/res_benefit_allowance_cost_trend_iz5g-gb92.csv,Cost information for the State of Oklahoma employee benefit allowance beginning in fiscal year 2007.,"
      Benefit Allowance Cost Trend    "
http://data.ok.gov/sites/default/files/res_oklahoma_lottery_commission_retailer_ranking_from_july_1%2C_2007-june_30%2C_2008_ia3d-bgv7.csv,"Oklahoma Lottery Commission retailer ranking based on total sales for all retailers and terminal types from July 1, 2007 to June 30, 2008.","
      Oklahoma Lottery Commission Retailer Ranking From July 1, 2007-June 30, 2008    "
http://data.ok.gov/sites/default/files/res_tax_credits_-_fiscal_year_2011_jt2d-fkhg.csv,Tax credit information represents a credit pursuant to the Oklahoma Income Tax Act against tax liability which is taken by a taxpayer.,"
      Tax Credits - Fiscal Year 2011    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_capital_asset_utilization_by_function_-_primary_government_ftuz-5ard.csv,Data showing the capital asset use by primary function of State of Oklahoma government.,"
      State of Oklahoma Capital Asset Utilization by Function - Primary Government    "
http://data.ok.gov/sites/default/files/res_revolving_funds_march_2015_hzr9-b2hi.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds March 2015    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_june_2013_i4b3-tzp9.csv,A detailed listing of all state revolving funds and the amount,"
      Revolving Funds - June 2013    "
http://data.ok.gov/sites/default/files/res_oklahoma_lottery_commission_retailer_ranking_from_july_1%2C_2010-june_30%2C_2011_gif8-bb3z.csv,"Oklahoma Lottery Commission retailer ranking based on total sales for all retailers and terminal types from July 1, 2010 to June 30, 2011.","
      Oklahoma Lottery Commission Retailer Ranking From July 1, 2010-June 30, 2011    "
http://data.ok.gov/sites/default/files/res_2014_report_of_underutilized_properties-_tier_2_map_g86i-9jn5.csv,"The Tier 2 Underutilized Property Report contains only underutilized properties that are suitable for divestment by the State of Oklahoma.  Properties located within a campus or with deed restrictions, reversion clauses or located within a campus do not appear in the Tier 2 Underutilized Report.  Properties with future plans for utilization, generating an income, used in support of the agency mission or with environmental issues that make them unsuitable for divestment are excluded from the Tier 2 Underutilized Property Report.   Underutilized properties are defined as buildings, facilities, and land that were reported as being utilized 50% or less.","
      2014 Report Of Underutilized Properties- Tier 2    "
http://data.ok.gov/sites/default/files/res_classified_employee_turnover_rates_msjz-ts4x.csv,Turnover rates for State of Oklahoma classified employees beginning in fiscal year 2000.,"
      Classified Employee Turnover Rates    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_vendor_payments_fiscal_year_2015_maqc-icnw.csv,"The vendor payment dataset contains payments made by state agencies and institutions of higher education that are processed through the Office of Management and Enterprise Services. These payments reflect disbursements from a state fund for the purchase of goods received, services performed, reimbursements, and payments to other governments. Travel reimbursements include the zip code of the State Capitol and not the individual’s address. For security and privacy reasons, payments related to “confidential matters” are included in the dataset; however, the payee name is replaced with “Protected Information” and the address is changed to the State Capitol address. . Also, some state agencies are authorized to make payments outside of the Office of Management and Enterprise Services from certain authorized funds. In these cases, the agency reports only the total amount of the expenditures to the Office of Management and Enterprise Services but does not report the detailed vendor payment information. Therefore, these payment details are not included in the dataset.","
      State of Oklahoma Vendor Payments Fiscal Year 2015    "
http://data.ok.gov/sites/default/files/res_merit_system_testing_locations_map_n6vg-iawr.csv,"List of State of Oklahoma merit system testing locations, which include the Office of Management and Enterprise Services (OMES) Human Capital Management (HCM) office in Oklahoma City and at select Career Technology Centers and Workforce Oklahoma Offices around the state.","
      Merit System Testing Locations    "
http://data.ok.gov/sites/default/files/res_oklahoma_lottery_commission_retailer_ranking_from_july_1%2C_2009-june_30%2C_2010_m28t-u45h.csv,"Oklahoma Lottery Commission retailer ranking based on total sales for all retailers and terminal types from July 1, 2009 to June 30, 2010.","
      Oklahoma Lottery Commission Retailer Ranking From July 1, 2009-June 30, 2010    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_february_2013_m44v-wzx8.csv,A detailed listing of all state revolving funds and the amount,"
      Revolving Funds - February 2013    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_november_2012_kjug-pdpk.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - November 2012    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_july_2014_na5p-d95a.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds - July 2014    "
http://data.ok.gov/sites/default/files/res_p-card_scheduled_pay_cycle_nanb-6sn8.csv,"Actual dates of action associated with the P-Card payments, including deadline for Works editing; when the P-Card download to PeopleSoft will occur each month; the date agencies can begin preparing their P-Card vouchers, and the submission deadline for the vouchers received at OMES each month.","
      P-Card Scheduled Pay Cycle    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_march_2013_m7f8-3kuu.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds - March 2013    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_december_2012_qv5a-x5vw.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - December 2012    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_payroll_-_q1_2013_qpr5-p8ug.csv,"The payroll data represents the amount paid to an employee during the reported time period. In addition to regular pay, these amounts may include other pay types such as overtime, longevity, shift differential or terminal pay. This amount does not include any state share costs associated with the payroll i.e. FICA, state share retirement, etc. This amount may vary from an employee’s ‘salary’ due to pay adjustments or pay period timing. The payroll information will be updated monthly after the end of the month. For example, July information will be added in August.","
      State of Oklahoma Payroll - Q1 2013    "
http://data.ok.gov/sites/default/files/res_expenditure_summary_-_fiscal_year_2014_kwck-ree7.csv,"Provides expenditure data summarized by each agency and general ledger account. The general ledger account may be viewed by major class, sub-class or detail expenditure code. Examples of the major class expenditure category include: • Personal Services • Travel Expenses • Administrative Expense • Property, Furniture, Equipment and Related Debt • General Assistance, Awards, Grants, & Other • Program-Directed Payments • Transfers and Other Disbursements","
      Expenditure Summary - Fiscal Year 2014    "
http://data.ok.gov/sites/default/files/res_purchase_card_%28pcard%29_-_fiscal_year_2012_p38x-nrvb.csv,"This dataset contains information on purchases made through the purchase card programs administered by the state and higher ed institutions. The purchase card information will be updated monthly after the end of the month. For example, July information will be added in August.","
      Purchase Card (PCard) - Fiscal Year 2012    "
http://data.ok.gov/sites/default/files/res_2013_turnpike_authority_rights_of_way_inventory_list_q268-ucg3.csv,"The Turnpike Authority is authorized to construct, maintain, repair and operate turnpike projects at locations authorized by the Legislature of the State of Oklahoma and approved by the Department of Transportation. The Turnpike Authority has provided the following Rights of Way and Easement data for all ten Oklahoma turnpikes.","
      2013 Turnpike Authority Rights Of Way Inventory List    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_november_2013_kbs9-hp7j.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds - November 2013    "
http://data.ok.gov/sites/default/files/res_non-appropriated_agencies_nxnf-828a.csv,"List of non-appropriated State of Oklahoma agencies, their FY-2013 budget, and full-time equivalent (FTE) positions.","
      Non-Appropriated Agencies    "
