csv_link,description,name
http://data.ok.gov/sites/default/files/res_market_analysis_by_agency_6rug-xpex.csv,"Market analysis of classified employees by agency for the previous fiscal year. This analysis shows the number of classified employees as well as benchmarks for the number of incumbent,s market average salaries, and the average salary.","
      Market Analysis by Agency    "
http://data.ok.gov/sites/default/files/res_oklahoma_public_school_district_directory_6pnx-5dpb.csv,Contact information for school districts in Oklahoma,"
      Oklahoma Public School District Directory    "
http://data.ok.gov/sites/default/files/res_veterans_returning_to_work_4y3t-a65p.csv,Increase the percentage of veterans receiving unemployment insurance who return to work from 59% in 2013 to 74% by 2018.,"
      Veterans Returning To Work    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_april_2014_6id2-7597.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds - April 2014    "
http://data.ok.gov/sites/default/files/res_offender_recidivism_6gtp-k566.csv,Decrease the percentage of offenders returning to prison within 36 months of release from 21.2% in 2013 to 20.1% by 2017.,"
      Offender Recidivism    "
http://data.ok.gov/sites/default/files/res_oklahoma_general_pay_increase_history_6evb-5kfi.csv,List of pay increases for State of Oklahoma employees since fiscal year 2002.,"
      Oklahoma General Pay Increase History    "
http://data.ok.gov/sites/default/files/res_oklahoma_lottery_commission_retailer_ranking_from_july_1%2C_2006-june_30%2C_2007_6uc8-aqi7.csv,"Oklahoma Lottery Commission retailer ranking based on total sales for all retailers and terminal types from July 1, 2006 to June 30, 2007.","
      Oklahoma Lottery Commission Retailer Ranking From July 1, 2006-June 30, 2007    "
http://data.ok.gov/sites/default/files/res_median_household_income_93ry-4338.csv,"Increase the state median household income from $45,690 in 2013 to $51,424 by 2017.","
      Median Household Income    "
http://data.ok.gov/sites/default/files/res_unrestrained_occupant_fatalities_-_column_chart_36y9-ss2n.csv,Decrease the number of automobile fatalities in which victims are not wearing seat belts from 282 in 2012 to 260 by 2017.,"
      Unrestrained Occupant Fatalities    "
http://data.ok.gov/sites/default/files/res_retirement_eligibility_and_age_by_agency_fy_2014_86d9-9ff7.csv,Retirement Eligibility and Age by Agency FY 2014,"
      Retirement Eligibility and Age by Agency FY 2014    "
http://data.ok.gov/sites/default/files/res_expenditure_summary__fiscal_year_2015_85mr-nb23.csv,"Provides expenditure data summarized by each agency and general ledger account. The general ledger account may be viewed by major class, sub-class or detail expenditure code. Examples of the major class expenditure category include: • Personal Services • Travel Expenses • Administrative Expense • Property, Furniture, Equipment and Related Debt • General Assistance, Awards, Grants, & Other • Program-Directed Payments • Transfers and Other Disbursements","
      Expenditure Summary  Fiscal Year 2015    "
http://data.ok.gov/sites/default/files/res_healthchoice_medicare_supplement_plans_medications_with_quantity_limits_7yui-a476.csv,Due to approved therapy guidelines the following medications have set maximum quantity limits per copay. These quantity limits are less than the standard pharmacy benefit of a 30-day or 90-day supply.  Quantity limits are determined by the recommended length of therapy and/or routine use of the medication and also apply when the medication form is other than a tablet or capsule.,"
      HealthChoice Medicare Supplement Plans Medications with Quantity Limits    "
http://data.ok.gov/sites/default/files/res_state_labor_force_7ugg-yvu5.csv,Increase the state labor force from 1.85 million in 2013 to 1.93 million by 2017.,"
      State Labor Force    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_march_2012_7nk2-twsb.csv,A detailed listing of all state revolving funds and the amount,"
      Revolving Funds - March 2012    "
http://data.ok.gov/sites/default/files/res_new_patents_filed_-_line_chart_jpbv-r8cu.csv,Increase the number of new patents filed in Oklahoma from 604 in 2013 to 633 by 2017.,"
      New Patents Filed    "
http://data.ok.gov/sites/default/files/res_multi-survey_benchmark_jobs_and_relationship_to_market_79d8-nits.csv,Survey of classified jobs and the relationship of the average salary to the average market salary.,"
      Multi-Survey Benchmark Jobs and Relationship to Market    "
http://data.ok.gov/sites/default/files/res_top_10_sources_of_tax_revenue_%28other_than_sales_and_income_taxes%29_773t-rvum.csv,"Breakdown of the Top 10 sources of tax revenue in the State of Oklahoma by broad category, other than sales and income taxes.","
      Top 10 Sources of Tax Revenue (Other than Sales and Income taxes)    "
http://data.ok.gov/sites/default/files/res_mental_health_reentry_programs_participant_-_column_chart_8xgr-gnkj.csv,Maintain the percentage of participants in mental health reentry programs returning to prison within 36 months at 24.2% or below every year through 2017.,"
      Mental Health Reentry Programs Participant    "
http://data.ok.gov/sites/default/files/res_2013_report_of_underutilized_properties-tier_1_aa3c-eyw3.csv,"The Tier 1 Underutilized Property Report contains all properties owned by the State of Oklahoma that were reported to the Office of Management and Enterprise Services as being underutilized.  Underutilized properties are defined as buildings, facilities, and land that were reported as being utilized 50% or less.","
      2013 Report of Underutilized Properties-Tier 1    "
http://data.ok.gov/sites/default/files/res_revolving_funds_december_2014_9y7q-g34e.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds December 2014    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_january_2013_9xhv-36ps.csv,A detailed listing of all state revolving funds and the amount,"
      Revolving Funds - January 2013    "
http://data.ok.gov/sites/default/files/res_funding_summary_fiscal_year_2015_9vub-adtb.csv,"The Funding dataset provides information for the current fiscal year (to-date) and the three prior fiscal years. The funding information is first presented by high-level funding categories including: • Assets Held for Others • Taxes and Interest Income • Licenses, Permits, Tuition, Fees and Other • Federal Grants • Appropriations Each Funding category (class) may be further viewed by sub-class and detail funding type.","
      Funding Summary Fiscal Year 2015    "
http://data.ok.gov/sites/default/files/res_youth_tobacco_use_9mb9-atu3.csv,Decrease the percentage of tobacco use in youth grades 9-12 from 28.7% in 2011 to 21% by 2018.,"
      Youth Tobacco Use    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_vendor_payments_fiscal_year_2011_9x5t-prtk.csv,"The vendor payment dataset contains payments made by state agencies and institutions of higher education that are processed through the Office of State Finance. These payments reflect disbursements from a state fund for the purchase of goods received, services performed, reimbursements, and payments to other governments. Travel reimbursements include the zip code of the State Capitol and not the individual’s address. For security and privacy reasons, payments related to “confidential matters” are not included in the dataset. Also, some state agencies are authorized to make payments outside of the Office of State Finance from certain authorized funds. In these cases, the agency reports only the total amount of the expenditures to the Office of State Finance but does not report the detailed vendor payment information. Therefore, these payment details are not included in the dataset.","
      State of Oklahoma Vendor Payments Fiscal Year 2011    "
http://data.ok.gov/sites/default/files/res_purchase_card_%28pcard%29_-_fiscal_year_2011_99ig-ehks.csv,"This dataset contains information on purchases made through the purchase card programs administered by the state and higher ed institutions.  The purchase card information will be updated monthly after the end of the month.  For example, July information will be added in August.","
      Purchase Card (PCard) - Fiscal Year 2011    "
http://data.ok.gov/sites/default/files/res_mental_health_wait_times_992i-t9ke.csv,Maintain the wait time between first contact and face-to-face visit for behavioral health treatment to less than 3 days every year through 2018.,"
      Mental Health Wait Times    "
http://data.ok.gov/sites/default/files/res_careertech_map_bpbc-svpz.csv,Find technology centers in the state of Oklahoma.,"
      Oklahoma Technology Centers    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_july_2013_9c29-f77k.csv,A detailed listing of all state revolving funds and the amount,"
      Revolving Funds - July 2013    "
http://data.ok.gov/sites/default/files/res_2013_omes_mineral_interest_inventory_list_bhpu-mpn8.csv,The Mineral Interest List is a historical listing of oil and gas leases under the authority of the Office of Management and Enterprise Services.,"
      2013 OMES Mineral Interest Inventory List    "
http://data.ok.gov/sites/default/files/res_tax_collections_to_general_revenue_fund_bgxn-3u5c.csv,Increase the portion of tax collections that are distributed into the General Revenue Fund from 46.7% in 2014 to 48% by 2018.,"
      Tax Collections To General Revenue Fund    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_payroll_-_q3_2011_bcr4-yhkv.csv,"The payroll data represents the amount paid to an employee during the reported time period. In addition to regular pay, these amounts may include other pay types such as overtime, longevity, shift differential or terminal pay. This amount does not include any state share costs associated with the payroll i.e. FICA, state share retirement, etc. This amount may vary from an employee’s ‘salary’ due to pay adjustments or pay period timing. The payroll information will be updated monthly after the end of the month. For example, July information will be added in August.","
      State of Oklahoma Payroll - Q3 2011    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_portfolio_composition_%28as_of_june_30%2C_2011%29_b9yw-6ms2.csv,"Data showing the make up of the State of Oklahoma's investment portfolio as of June 30, 2011.","
      State of Oklahoma Portfolio Composition (as of June 30, 2011)    "
http://data.ok.gov/sites/default/files/res_school_bullying_-_column_chart_9jmr-wcag.csv,Decrease the number of high school youth (grades 9-12) who report they were bullied on school property from 18.6% in 2013 to 17.5% by 2020.,"
      School Bullying    "
http://data.ok.gov/sites/default/files/res_expenditure_summary_-_fiscal_year_2012_afpt-n7ya.csv,"Provides expenditure data summarized by each agency and general ledger account. The general ledger account may be viewed by major class, sub-class or detail expenditure code. Examples of the major class expenditure category include: • Personal Services • Travel Expenses • Administrative Expense • Property, Furniture, Equipment and Related Debt • General Assistance, Awards, Grants, & Other • Program-Directed Payments • Transfers and Other Disbursements","
      Expenditure Summary - Fiscal Year 2012    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_june_2014_acvg-sk6d.csv,A detailed listing of all state revolving funds and the amount,"
      Revolving Funds - June 2014    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_vendor_payments_fiscal_year_2013_aykr-xnjm.csv,"The vendor payment dataset contains payments made by state agencies and institutions of higher education that are processed through the Office of Management and Enterprise Services. These payments reflect disbursements from a state fund for the purchase of goods received, services performed, reimbursements, and payments to other governments. Travel reimbursements include the zip code of the State Capitol and not the individual’s address. For security and privacy reasons, payments related to “confidential matters” are included in the dataset; however, the payee name is replaced with “Protected Information” and the address is changed to the State Capitol address. . Also, some state agencies are authorized to make payments outside of the Office of Management and Enterprise Services from certain authorized funds. In these cases, the agency reports only the total amount of the expenditures to the Office of Management and Enterprise Services but does not report the detailed vendor payment information. Therefore, these payment details are not included in the dataset.","
      State of Oklahoma Vendor Payments Fiscal Year 2013    "
http://data.ok.gov/sites/default/files/res_real_gross_regional_product_-_line_chart_28yv-aaah.csv,Increase Real Gross Regional Product (annual output from an economy) from $182.1 billion in 2013 to $204.96 billion by 2017.,"
      Real Gross Regional Product    "
http://data.ok.gov/sites/default/files/res_capitol_complex_renewable_energy_sources_-_cumulative_total_atu3-mtx3.csv,Running total of renewable energy sources in the State of Oklahoma Capitol complex.,"
      Capitol Complex Renewable Energy Sources - Cumulative Total    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_payroll_-_q3_2012_ck4w-gpnt.csv,"The payroll data represents the amount paid to an employee during the reported time period. In addition to regular pay, these amounts may include other pay types such as overtime, longevity, shift differential or terminal pay. This amount does not include any state share costs associated with the payroll i.e. FICA, state share retirement, etc. This amount may vary from an employee’s ‘salary’ due to pay adjustments or pay period timing. The payroll information will be updated monthly after the end of the month. For example, July information will be added in August.","
      State of Oklahoma Payroll - Q3 2012    "
http://data.ok.gov/sites/default/files/res_unprescribed_drug_use_-_column_chart_axe4-tpeb.csv,Decrease the percentage of adults who have taken prescription drugs in the past 30 days without a doctor's prescription from 2.5% in 2013 to 2.1% by 2017.,"
      Unprescribed Drug Use    "
http://data.ok.gov/sites/default/files/res_oklahoma_tag_agencies_map_ra7i-u3yg.csv,Find all Tag Agencies in the state of Oklahoma.,"
      Oklahoma Tag Agencies    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_sep_2011_cm92-tiua.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - Sep 2011    "
http://data.ok.gov/sites/default/files/res_manufactured_home_and_manufactured_home_park_salesperson_license_holders_c942-3jag.csv,This database contains a current list of licensed Manufactured Home Salespersons.,"
      Manufactured Home and Manufactured Home Park Salesperson License Holders    "
http://data.ok.gov/sites/default/files/res_unfunded_pension_liability_-_column_chart_kqib-xsd6.csv,Decrease the State of Oklahoma’s unfunded pension liability from $9.65 billion in 2014 to $NA billion by 2018 (Target not yet established).,"
      Unfunded Pension Liability    "
http://data.ok.gov/sites/default/files/res_inpatient_re-admittance_care_cdje-ypv8.csv,Maintain the percentage of individuals receiving inpatient or crisis unit care who return within 180 days at 21% or below every year through 2018.,"
      Inpatient Re-Admittance Care    "
http://data.ok.gov/sites/default/files/res_debt_service_and_fund_information_c3v4-6dr6.csv,Debt Service and Fund Information,"
      Debt Service and Fund Information    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_august_2012_dgbw-zy6q.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - August 2012    "
http://data.ok.gov/sites/default/files/res_demographic_economic_stats_demh-fju2.csv,"Demographic and economic statistics for the State of Oklahoma beginning in 2002. The statistics include personal income, population, per capita income and employment figures.","
      Demographic Economic Stats    "
http://data.ok.gov/sites/default/files/res_pre-k_offerings_-_column_chart_fsrn-6jwv.csv,Maintain the percentage of public school districts that offer pre-k at 99% or higher every year through 2018.,"
      Pre-K Offerings    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_vendor_payments_fiscal_year_2009_deaa-m6ft.csv,"The vendor payment dataset contains payments made by state agencies and institutions of higher education that are processed through the Office of Management and Enterprise Services. These payments reflect disbursements from a state fund for the purchase of goods received, services performed, reimbursements, and payments to other governments. Travel reimbursements include the zip code of the State Capitol and not the individual’s address. For security and privacy reasons, payments related to “confidential matters” are included in the dataset; however, the payee name is replaced with “Protected Information” and the address is changed to the State Capitol address. . Also, some state agencies are authorized to make payments outside of the Office of Management and Enterprise Services from certain authorized funds. In these cases, the agency reports only the total amount of the expenditures to the Office of Management and Enterprise Services but does not report the detailed vendor payment information. Therefore, these payment details are not included in the dataset.","
      State of Oklahoma Vendor Payments Fiscal Year 2009    "
http://data.ok.gov/sites/default/files/res_prison_population_-_line_chart_5tyz-etwf.csv,"Decrease the percentage of the total prison population from 28,328 in 2014 to 26,200 by 2018.","
      Prison Population    "
http://data.ok.gov/sites/default/files/res_oklahoma_lottery_commission_retailer_ranking_from_july_1%2C_2011-june_30%2C_2012_d59m-upw4.csv,"Oklahoma Lottery Commission retailer ranking based on total sales for all retailers and terminal types from July 1, 2011 to June 30, 2012.","
      Oklahoma Lottery Commission Retailer Ranking From July 1, 2011-June 30, 2012    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_july_2011_d552-m8jp.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - July 2011    "
http://data.ok.gov/sites/default/files/res_research_and_development_investments_-_line_chart_m2af-ed7a.csv,Increase the percentage of state spending on research and development investments from 0.27% in 2011 to 0.61% by 2017.,"
      Research And Development Investments    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_december_2013_dbrp-gxum.csv,A detailed listing of all state revolving funds and the amount,"
      Revolving Funds - December 2013    "
http://data.ok.gov/sites/default/files/res_classified_employee_turnover_data_line_chart_fpvw-ygtk.csv,Overall and voluntary turnover data for State of Oklahoma classified employees beginning in fiscal year 2007.,"
      Classified Employee Turnover Data    "
http://data.ok.gov/sites/default/files/res_oklahoma_state_parks_e2ba-577g.csv,Find state parks in the state of Oklahoma.,"
      Oklahoma State Parks    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_vendor_payments_fiscal_year_2008_cny5-ee88.csv,"The vendor payment dataset contains payments made by state agencies and institutions of higher education that are processed through the Office of Management and Enterprise Services. These payments reflect disbursements from a state fund for the purchase of goods received, services performed, reimbursements, and payments to other governments. Travel reimbursements include the zip code of the State Capitol and not the individual’s address. For security and privacy reasons, payments related to “confidential matters” are included in the dataset; however, the payee name is replaced with “Protected Information” and the address is changed to the State Capitol address. . Also, some state agencies are authorized to make payments outside of the Office of Management and Enterprise Services from certain authorized funds. In these cases, the agency reports only the total amount of the expenditures to the Office of Management and Enterprise Services but does not report the detailed vendor payment information. Therefore, these payment details are not included in the dataset.","
      State of Oklahoma Vendor Payments Fiscal Year 2008    "
http://data.ok.gov/sites/default/files/res_2012_oklahoma_real_property_inventory_list_e2r7-bsxk.csv,2012 Oklahoma Real Property Inventory List,"
      2012 Oklahoma Real Property Inventory List    "
http://data.ok.gov/sites/default/files/res_special_education_students_in_general_classroom_e2pk-c859.csv,Increase the percentage of students with disabilities receiving instruction in general education classrooms for the majority of the school day from 65.10% in 2014 to 68% by 2018.,"
      Special Education Students In General Classroom    "
http://data.ok.gov/sites/default/files/res_uninsured_individuals_e26h-sbcx.csv,Decrease the percentage of uninsured individuals from 17% in 2013 to 9.5% by 2019.,"
      Uninsured Individuals    "
http://data.ok.gov/sites/default/files/res_van_nostrand_nsu_nursing_kdqt-d8yc.csv,"The payroll data represents the amount paid to an employee during the reported time period. In addition to regular pay, these amounts may include other pay types such as overtime, longevity, shift differential or terminal pay. This amount does not include any state share costs associated with the payroll i.e. FICA, state share retirement, etc. This amount may vary from an employee’s ‘salary’ due to pay adjustments or pay period timing. The payroll information will be updated monthly after the end of the month. For example, July information will be added in August.","
      State of Oklahoma Payroll - Q1 2012    "
http://data.ok.gov/sites/default/files/res_oklahoma_public_school_district_directory_%28feb_2015%29_dktu-mtxa.csv,Oklahoma Public School District Directory (Feb 2015),"
      Oklahoma Public School District Directory (Feb 2015)    "
http://data.ok.gov/sites/default/files/res_oklahoma_public_school_districts_directory_%28may_2015%29_diqr-kt7t.csv,Oklahoma Public School Districts Directory (May 2015),"
      Oklahoma Public School Districts Directory (May 2015)    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_september_2013_dpj5-twah.csv,A detailed listing of all state revolving funds and the amount,"
      Revolving Funds - September 2013    "
http://data.ok.gov/sites/default/files/res_unemployment_insurance_benefits_-_column_chart_k8s6-rbgu.csv,Decrease the average number of weeks that recipients receive state unemployment insurance benefits from 16.58 weeks in 2013 to 13.9 weeks by 2018.,"
      Unemployment Insurance Benefits    "
http://data.ok.gov/sites/default/files/res_2013_state_of_oklahoma_personal_property_inventory_list_f679-ijkp.csv,The Personal Property List contains information on all personal property owned by the State of Oklahoma as reported to the OMES.,"
      2013 State of Oklahoma Personal Property Inventory List    "
http://data.ok.gov/sites/default/files/res_international_agricultural_exports_-_line_chart_tsbv-q82b.csv,Increase the 4-year moving average of total international agricultural exports from $1.67 billion in 2012 to $1.76 billion by 2018.,"
      International Agricultural Exports    "
http://data.ok.gov/sites/default/files/res_pay_band_compa_ratios_dnzj-5xts.csv,Compa ratios for the State of Oklahoma showing the current ratio for employees and the ratio if the pay bands are increased by 3%.,"
      Pay Band Compa Ratios    "
http://data.ok.gov/sites/default/files/res_underutilized_property_auctions_dknh-b46p.csv,List of all State of Oklahoma-owned and underutilized properties that are available for auction.,"
      Underutilized Property Auctions    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_may_2012_fcdk-23ik.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - May 2012    "
http://data.ok.gov/sites/default/files/res_post-tanf_employments_-_line_chart_brty-utgx.csv,"Increase the percentage of families who, after reporting employment, remain off Temporary Assistance for Needy Families (TANF) benefits for 6 consecutive months from 84.1% in 2013 to 93% by 2018.","
      Post-TANF Employments    "
http://data.ok.gov/sites/default/files/res_small_business_ownership_eqjy-jjhy.csv,Increase the small business ownership rate from 1.48% in 2011 to 1.53% by 2017.,"
      Small Business Ownership    "
http://data.ok.gov/sites/default/files/res_2013_report_of_5%25_most_underutilized_properties-tier_3_map_pwvf-jt57.csv,"The Tier 3 Report of the 5% Most Underutilized Properties contains the properties that were deemed to be the most underutilized of all state owned properties.   Underutilized properties are defined as buildings, facilities, and land that were reported as being utilized 50% or less.  Properties deemed unsuitable for divestment were removed from the comprehensive listing of underutilized properties to create the Tier 2 Underutilized Property Report.   Estimated assessed values were assigned to the divestible properties.  The 5% of the total reported underutilized properties that are divestible and have the  highest assessed or estimated value are listed on the Tier 3 Report of the 5% Most Underutilized Properties.","
      2013 Report Of 5 % Most Underutilized Properties- Tier 3    "
http://data.ok.gov/sites/default/files/res_information_and_financial_services_sales_ec2s-y62x.csv,Increase Information and Financial Services sales from $26.286 billion in 2013 to $29.585 billion by 2017.,"
      Information and Financial Services Sales    "
http://data.ok.gov/sites/default/files/res_traffic_fatalities_-_column_chart_y5wy-5m5d.csv,"Decrease the rate of traffic fatalities per 100,000,000 vehicle miles traveled from 1.48 in 2012 to 1.33 by 2017.","
      Traffic Fatalities    "
http://data.ok.gov/sites/default/files/res_fiscal_year_2012_tax_credits_eike-hzuj.csv,Tax credit information represents a credit pursuant to the Oklahoma Income Tax Act against tax liability which is taken by a taxpayer.,"
      Fiscal Year 2012 Tax Credits    "
http://data.ok.gov/sites/default/files/res_oklahoma_fire_stations_gffs-juek.csv,Find fire stations in the State of Oklahoma.,"
      Oklahoma Fire Stations    "
http://data.ok.gov/sites/default/files/res_ozone_standards_compliance_days_-_line_chart_p2fn-g7k3.csv,Maintain the percentage of days ozone is within federal standards at 95% every year through 2017.,"
      Ozone Standards Compliance Days    "
http://data.ok.gov/sites/default/files/res_high_value_target_prosecutions_gfp9-3npm.csv,Increase High Value Target (cartel-linked suppliers) prosecutions by 10% from the three-year average of 2011-2013 to the three-year average of 2015-2017 by 2017.,"
      High Value Target Prosecutions    "
http://data.ok.gov/sites/default/files/res_tribal_gaming_exclusivity_fees_%282006-present%29_ew7m-f8yq.csv,Data showing the amount of exclusivity fees collected by the State of Oklahoma. The fees are paid on a monthly basis by compacted tribes for the exclusive right to operate compacted gaming.,"
      Tribal Gaming Exclusivity Fees (2006-present)    "
http://data.ok.gov/sites/default/files/res_oklahoma_medical_facilities_locations_y3c9-rusj.csv,Find health care facilities in the state of Oklahoma.,"
      Oklahoma Health Care Facilities    "
http://data.ok.gov/sites/default/files/res_purchase_card_%28pcard%29_fiscal_year_2015_g82y-cb3r.csv,"This dataset contains information on purchases made through the purchase card programs administered by the state and higher ed institutions. The purchase card information will be updated monthly after the end of the month. For example, July information will be added in August.","
      Purchase Card (PCard) Fiscal Year 2015    "
http://data.ok.gov/sites/default/files/res_cost_of_proposed_pay_band_adjustment_fhyu-4gt5.csv,Data showing the cost by agency of the proposed 3% increase to the pay bands for classified employees.,"
      Cost of Proposed Pay Band Adjustment    "
http://data.ok.gov/sites/default/files/res_pension_debt_funded_ratio_-_column_chart_qh27-wpcs.csv,Increase the State of Oklahoma’s pension debt funded ratio from 72.5% funded in 2014 to NA% funded by 2018 (Target not yet established).,"
      Pension Debt Funded Ratio    "
